"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"2256",10.7,12.09633333,43.46666667,86.83333333,"11",10.6185455322266,10.7023954391479,10.6131629943848
"2257",12.8,10.62683333,42.83333333,87.03333333,"12",9.85978412628174,9.90094375610352,9.96428203582764
"2258",7.5,8.414666667,40.96666667,88.26666667,"13",8.96809768676758,9.05908584594727,9.06669807434082
"2259",14.6,8.560333334,39,89.36666667,"14",9.2557258605957,9.64993762969971,9.61789131164551
"2260",17.8,24.76516667,40.63333333,87.3,"15",19.229808807373,19.1876106262207,19.0738620758057
"2261",24.6,35.5475,42.96666667,86,"16",25.1015148162842,25.0281391143799,24.9914665222168
"2262",21.2,21.97683333,46.36666667,84.2,"17",18.5072746276855,18.3770141601562,18.5525779724121
"2263",28.5,17.55816667,58.3,78.86666667,"18",15.6220788955688,15.7588148117065,15.6653003692627
"2264",22.3,22.56983334,64.26666667,76.06666667,"19",19.5967655181885,19.144193649292,19.0089836120605
"2265",23.3,29.1125,63.36666667,76.06666667,"20",21.0360431671143,21.110767364502,21.0990619659424
"2266",21.3,25.152,63.23333333,76.13333333,"21",17.9643707275391,17.9877510070801,17.9022483825684
"2267",15.3,14.78316667,62.83333333,75.86666667,"22",11.1716747283936,10.986668586731,11.1464862823486
"2268",11.7,12.31316667,65.9,74.93333333,"23",8.33246231079102,8.62718200683594,8.66250514984131
"2269",5.7,11.1865,67.43333333,74.16666667,"0",7.03347682952881,6.93409395217896,7.1813325881958
"2270",8.5,11.3345,67.63333333,74.1,"1",6.35761642456055,6.6492919921875,6.7770824432373
"2271",8.9,10.37083334,68.86666667,73.76666667,"2",5.66538000106812,6.68945598602295,5.90297698974609
"2272",9.3,10.4825,69.23333333,73.53333333,"3",4.95423030853271,5.58055448532104,5.57397651672363
"2273",7.3,9.5885,69.76666667,73.23333333,"4",4.55495309829712,5.07842493057251,5.09737014770508
"2274",8.2,9.918666667,69.06666667,73.33333333,"5",4.83569860458374,5.627281665802,5.5283522605896
"2275",10.6,14.05316667,66.86666667,74.03333333,"6",6.64702224731445,6.80594635009766,7.04160022735596
"2276",15.4,21.45716667,64.43333333,75.06666667,"7",9.26959037780762,9.14464282989502,9.28610801696777
"2277",14.9,20.60183334,60.53333333,76.93333333,"8",9.73081588745117,10.1641759872437,10.2473087310791
"2278",7.1,15.40933334,55.96666667,79.53333333,"9",9.21797943115234,9.57746887207031,9.59427070617676
"2279",2.8,12.836,50.43333333,82.73333333,"10",9.40023708343506,9.46068477630615,9.47316265106201
"2280",11.7,13.1195,45.5,85.3,"11",11.0416641235352,10.9502944946289,11.0129737854004
"2281",8.2,14.20316667,44.33333333,86.06666667,"12",11.7334642410278,11.8044099807739,11.7936086654663
"2282",16.2,15.724,45.3,85.76666667,"13",12.7184314727783,12.6274967193604,12.7182865142822
"2283",12.4,13.22433334,47.53333333,84.33333333,"14",11.2660608291626,11.5259199142456,11.5277194976807
"2284",18.6,10.598,56.76666667,78.93333333,"15",10.363618850708,10.0092487335205,10.2404651641846
"2285",11.2,15.462,67.03333333,76.23333333,"16",12.5129261016846,12.4519996643066,12.4433937072754
"2286",17.1,19.23266667,67.26666667,75.83333333,"17",15.6937389373779,15.7824506759644,15.6322784423828
"2287",10.7,11.30083333,66.63333333,74.03333333,"18",11.6169176101685,11.7111768722534,11.6665086746216
