"","BAM","PA_CF_1","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_1_pred"
"1130",19.2,20.72033333,68.13333333,75.8,11.64793333,"22",17.1690630103193
"1131",16.5,18.137,68.36666667,75,8.6711,"23",13.6103142896442
"1132",14.2,16.52833333,69.06666667,74.76666667,8.459466667,"0",12.7324170546921
"1133",12.8,16.90966667,70.23333333,74,8.783566667,"1",12.8817672295256
"1134",11.7,14.93766667,70.86666667,74.06666667,6.875266667,"2",11.1585247671967
"1135",11.1,14.64633334,71.36666667,74.03333333,5.3091,"3",10.2769558562986
"1136",11,17.4085,72.06666667,73.96666667,6.930083333,"4",12.1019213089864
"1137",10.9,20.46766667,71.76666667,74.36666667,8.546183333,"5",14.175704004109
"1138",18.5,28.34316667,71.46666667,74.5,10.85008929,"6",19.1904098336701
"1139",22.9,38.45216667,68.76666667,75.73333333,10.8825,"7",23.3746461281339
"1140",20.4,22.4825,62.9,78.4,9.142833333,"8",16.8362498573755
"1141",17.3,18.70066667,59.3,80.33333333,7.588016667,"9",15.0817513492394
"1142",17.5,17.20366667,55.1,82.56666667,6.93415,"10",14.9565422723709
"1143",16.4,14.6665,53.23333333,83.46666667,7.132733333,"11",14.261430821008
"1144",16.1,17.11183333,50.3,85.23333333,9.6812,"12",17.0870384827865
"1145",11.6,13.7975,47.06666667,86.96666667,8.189678571,"13",15.0670801012476
"1146",12.3,10.236,44.43333333,88.43333333,5.231366667,"14",12.6692501681523
"1147",15.5,13.53883333,46.86666667,87.03333333,6.532666667,"15",14.3551920576117
"1148",3,13.75033333,65.56666667,80.46666667,2.91495,"16",9.17006906768517
"1149",14,18.53916667,67.43333333,79.16666667,9.0708,"17",15.2022575845581
"1150",16.3,22.4955,67.06666667,78,10.82805,"18",17.9596391516092
"1151",27.9,27.80583334,64.23333333,78.03333333,15.42665,"19",21.8935322718496
"1152",24.6,30.3925,65.03333333,77.9,16.95655357,"20",23.307432026048
"1153",21.1,24.23916667,65.83333333,77,16.07418333,"21",20.3139709645065
"1154",19.9,20.85316667,67.26666667,76.33333333,11.92858333,"22",17.5568619056654
"1155",17.8,20.81848851,68.46666667,75.8,11.38373333,"23",17.0247713495706
"1156",12.9,14.37083334,70.66666667,75,7.090633333,"0",11.204447256263
"1157",5.9,16.03766667,71.36666667,74.46666667,5.703216667,"1",11.181972324202
"1158",7.7,13.75,72.93333333,74,5.0683,"2",9.63205420814925
"1159",11.8,15.8775,72.53333333,74,5.838946429,"3",11.0278309066728
"1160",11.4,17.00583334,72.06666667,74,6.118516667,"4",11.6487221757551
"1161",14.7,18.81016667,72.43333333,74,6.137233333,"5",12.3766732540513
"1162",16,26.61133334,73.13333333,73.73333333,7.449316667,"6",15.9064340422137
"1163",16.1,34.77216667,70.7,74.83333333,8.367783333,"7",19.7591214850311
"1164",19.2,25.92166667,65.93333333,77.03333333,7.36925,"8",16.7297304866951
"1165",12.6,17.63166667,59.6,79.53333333,6.46385,"9",14.0492657494285
"1166",15.3,17.7915,55.13333333,82,6.910633333,"10",15.1855714455315
"1167",15.6,17.20266667,50.43333333,85.1,7.320783333,"11",15.687906883784
"1168",14.4,14.30433334,43.93333333,88.56666667,6.83825,"12",15.2233503002598
"1169",12.8,14.53133334,42.43333333,89,7.5719,"13",15.9509950195289
"1170",15.9,11.33016667,41.5,88.96666667,6.265966667,"14",14.5274360741823
"1171",11.7,11.456,43.6,87.96666667,6.590366667,"15",14.3016610369043
"1172",16.2,13.41433333,46.3,85.9,8.379133333,"16",15.6113898652313
"1173",20.1,16.48083334,50.36666667,83.6,8.606833333,"17",16.3542649294971
"1174",16.3,19.429,56,80.83333333,10.65401667,"18",18.0077487282839
"1175",19.2,20.80883334,58.16666667,79.36666667,10.28396667,"19",17.6871786674701
"1176",16,18.891,60.6,78.13333333,10.513125,"20",16.5485838416819
"1177",15.5,15.5115,62.3,77.8,8.95505,"21",13.6956903416404
"1178",12.7,15.986,63.9,77,9.149716667,"22",13.743064301144
"1179",11.5,14.88433333,64.33333333,76.8,8.938616667,"23",13.064151589465
"1180",11.8,12.12433334,64.93333333,76,7.4356,"0",10.8971772539499
"1181",11.7,10.56633333,65.6,76,6.171533333,"1",9.79299558574044
"1182",8.6,12.69483333,67.93333333,75.96666667,4.429516667,"2",9.30677821886789
"1183",15.1,15.43816667,69.43333333,75.33333333,6.21955,"3",11.4751579180769
"1184",7.5,12.551,68.9,75,6.19655,"4",10.2380307918886
"1185",10.2,10.27266667,68.63333333,74.96666667,5.273214286,"5",8.80701770799571
"1186",11.5,12.3365,67.56666667,74.96666667,6.106983333,"6",10.1651764561836
"1187",16.9,17.4595,65.43333333,76.13333333,6.305916667,"7",12.7006935373794
"1188",16.8,20.34733334,63.03333333,77.36666667,5.782266667,"8",14.0731206261812
"1189",12.3,17.58833333,59.13333333,79.86666667,5.516516667,"9",13.6998053113391
"1190",16,20.1355,55.66666667,82,8.204133333,"10",16.5885576325742
"1191",15.8,15.08016667,50.76666667,84.7,4.168016667,"11",12.8932546259679
